시간,채널명,시청가구수
2026-06-02 15:42:00,홈앤쇼핑(오늘),2339
2026-06-02 15:42:10,홈앤쇼핑(오늘),2389
2026-06-02 15:42:20,홈앤쇼핑(오늘),2381
2026-06-02 15:42:30,홈앤쇼핑(오늘),2383
2026-06-02 15:42:40,홈앤쇼핑(오늘),2408
2026-06-02 15:42:50,홈앤쇼핑(오늘),2362
2026-06-02 15:43:00,홈앤쇼핑(오늘),2362
2026-06-02 15:43:10,홈앤쇼핑(오늘),2344
2026-06-02 15:43:20,홈앤쇼핑(오늘),2369
2026-06-02 15:43:30,홈앤쇼핑(오늘),2400
2026-06-02 15:43:40,홈앤쇼핑(오늘),2421
2026-06-02 15:43:50,홈앤쇼핑(오늘),2465
2026-06-02 15:44:00,홈앤쇼핑(오늘),2500
2026-06-02 15:44:10,홈앤쇼핑(오늘),2482
2026-06-02 15:44:20,홈앤쇼핑(오늘),2379
2026-06-02 15:44:30,홈앤쇼핑(오늘),2251
2026-06-02 15:44:40,홈앤쇼핑(오늘),2125
2026-06-02 15:44:50,홈앤쇼핑(오늘),2073
2026-06-02 15:45:00,홈앤쇼핑(오늘),2056
2026-06-02 15:45:10,홈앤쇼핑(오늘),2070
2026-06-02 15:45:20,홈앤쇼핑(오늘),2075
2026-06-02 15:45:30,홈앤쇼핑(오늘),2071
2026-06-02 15:45:40,홈앤쇼핑(오늘),2051
2026-06-02 15:45:50,홈앤쇼핑(오늘),2032
2026-06-02 15:46:00,홈앤쇼핑(오늘),1949
2026-06-02 15:46:10,홈앤쇼핑(오늘),1939
2026-06-02 15:46:20,홈앤쇼핑(오늘),1964
2026-06-02 15:46:30,홈앤쇼핑(오늘),1983
2026-06-02 15:46:40,홈앤쇼핑(오늘),1995
2026-06-02 15:46:50,홈앤쇼핑(오늘),2000
2026-06-02 15:47:00,홈앤쇼핑(오늘),2005
2026-06-02 15:47:10,홈앤쇼핑(오늘),2028
2026-06-02 15:47:20,홈앤쇼핑(오늘),2008
2026-06-02 15:47:30,홈앤쇼핑(오늘),2015
2026-06-02 15:47:40,홈앤쇼핑(오늘),2042
2026-06-02 15:47:50,홈앤쇼핑(오늘),2040
2026-06-02 15:48:00,홈앤쇼핑(오늘),2032
2026-06-02 15:48:10,홈앤쇼핑(오늘),2047
2026-06-02 15:48:20,홈앤쇼핑(오늘),2036
2026-06-02 15:48:30,홈앤쇼핑(오늘),2036
2026-06-02 15:48:40,홈앤쇼핑(오늘),2035
2026-06-02 15:48:50,홈앤쇼핑(오늘),2055
2026-06-02 15:49:00,홈앤쇼핑(오늘),2068
2026-06-02 15:49:10,홈앤쇼핑(오늘),2045
2026-06-02 15:49:20,홈앤쇼핑(오늘),2110
2026-06-02 15:49:30,홈앤쇼핑(오늘),2229
2026-06-02 15:49:40,홈앤쇼핑(오늘),2298
2026-06-02 15:49:50,홈앤쇼핑(오늘),2304
2026-06-02 15:50:00,홈앤쇼핑(오늘),2267
2026-06-02 15:50:10,홈앤쇼핑(오늘),2180
2026-06-02 15:50:20,홈앤쇼핑(오늘),2057
2026-06-02 15:50:30,홈앤쇼핑(오늘),2048
2026-06-02 15:50:40,홈앤쇼핑(오늘),2043
2026-06-02 15:50:50,홈앤쇼핑(오늘),2045
2026-06-02 15:51:00,홈앤쇼핑(오늘),2064
2026-06-02 15:51:10,홈앤쇼핑(오늘),2073
2026-06-02 15:51:20,홈앤쇼핑(오늘),2058
2026-06-02 15:51:30,홈앤쇼핑(오늘),2057
2026-06-02 15:51:40,홈앤쇼핑(오늘),2090
2026-06-02 15:51:50,홈앤쇼핑(오늘),2146
2026-06-02 15:52:00,홈앤쇼핑(오늘),2170
2026-06-02 15:52:10,홈앤쇼핑(오늘),2201
2026-06-02 15:52:20,홈앤쇼핑(오늘),2183
2026-06-02 15:52:30,홈앤쇼핑(오늘),2149
2026-06-02 15:52:40,홈앤쇼핑(오늘),2092
2026-06-02 15:52:50,홈앤쇼핑(오늘),2019
2026-06-02 15:53:00,홈앤쇼핑(오늘),2025
2026-06-02 15:53:10,홈앤쇼핑(오늘),2049
2026-06-02 15:53:20,홈앤쇼핑(오늘),2017
2026-06-02 15:53:30,홈앤쇼핑(오늘),2023
2026-06-02 15:53:40,홈앤쇼핑(오늘),2004
2026-06-02 15:53:50,홈앤쇼핑(오늘),2016
2026-06-02 15:54:00,홈앤쇼핑(오늘),2062
2026-06-02 15:54:10,홈앤쇼핑(오늘),2098
2026-06-02 15:54:20,홈앤쇼핑(오늘),2143
2026-06-02 15:54:30,홈앤쇼핑(오늘),2149
2026-06-02 15:54:40,홈앤쇼핑(오늘),2158
2026-06-02 15:54:50,홈앤쇼핑(오늘),2171
2026-06-02 15:55:00,홈앤쇼핑(오늘),2150
2026-06-02 15:55:10,홈앤쇼핑(오늘),2114
2026-06-02 15:55:20,홈앤쇼핑(오늘),2108
2026-06-02 15:55:30,홈앤쇼핑(오늘),2061
2026-06-02 15:55:40,홈앤쇼핑(오늘),2062
2026-06-02 15:55:50,홈앤쇼핑(오늘),2054
2026-06-02 15:56:00,홈앤쇼핑(오늘),2082
2026-06-02 15:56:10,홈앤쇼핑(오늘),2108
2026-06-02 15:56:20,홈앤쇼핑(오늘),2130
2026-06-02 15:56:30,홈앤쇼핑(오늘),2194
2026-06-02 15:56:40,홈앤쇼핑(오늘),2236
2026-06-02 15:56:50,홈앤쇼핑(오늘),2285
2026-06-02 15:57:00,홈앤쇼핑(오늘),2252
2026-06-02 15:57:10,홈앤쇼핑(오늘),2233
2026-06-02 15:57:20,홈앤쇼핑(오늘),2209
2026-06-02 15:57:30,홈앤쇼핑(오늘),2203
2026-06-02 15:57:40,홈앤쇼핑(오늘),2206
2026-06-02 15:57:50,홈앤쇼핑(오늘),2235
2026-06-02 15:58:00,홈앤쇼핑(오늘),2270
2026-06-02 15:58:10,홈앤쇼핑(오늘),2277
2026-06-02 15:58:20,홈앤쇼핑(오늘),2300
2026-06-02 15:58:30,홈앤쇼핑(오늘),2270
2026-06-02 15:58:40,홈앤쇼핑(오늘),2294
2026-06-02 15:58:50,홈앤쇼핑(오늘),2337
2026-06-02 15:59:00,홈앤쇼핑(오늘),2442
2026-06-02 15:59:10,홈앤쇼핑(오늘),2473
2026-06-02 15:59:20,홈앤쇼핑(오늘),2495
2026-06-02 15:59:30,홈앤쇼핑(오늘),2494
2026-06-02 15:59:40,홈앤쇼핑(오늘),2474
2026-06-02 15:59:50,홈앤쇼핑(오늘),2453
2026-06-02 16:00:00,홈앤쇼핑(오늘),2426
2026-06-02 16:00:10,홈앤쇼핑(오늘),2340
2026-06-02 16:00:20,홈앤쇼핑(오늘),2251
2026-06-02 16:00:30,홈앤쇼핑(오늘),2175
2026-06-02 16:00:40,홈앤쇼핑(오늘),2083
2026-06-02 16:00:50,홈앤쇼핑(오늘),1996
2026-06-02 16:01:00,홈앤쇼핑(오늘),1920
2026-06-02 16:01:10,홈앤쇼핑(오늘),1943
2026-06-02 16:01:20,홈앤쇼핑(오늘),1971
2026-06-02 16:01:30,홈앤쇼핑(오늘),2037
2026-06-02 16:01:40,홈앤쇼핑(오늘),2030
2026-06-02 16:01:50,홈앤쇼핑(오늘),2042
2026-06-02 16:02:00,홈앤쇼핑(오늘),1966
2026-06-02 16:02:10,홈앤쇼핑(오늘),1962
2026-06-02 16:02:20,홈앤쇼핑(오늘),1996
2026-06-02 16:02:30,홈앤쇼핑(오늘),2035
2026-06-02 16:02:40,홈앤쇼핑(오늘),2067
2026-06-02 16:02:50,홈앤쇼핑(오늘),2077
2026-06-02 16:03:00,홈앤쇼핑(오늘),2073
2026-06-02 16:03:10,홈앤쇼핑(오늘),2078
2026-06-02 15:42:00,홈앤쇼핑(어제),867
2026-06-02 15:42:10,홈앤쇼핑(어제),856
2026-06-02 15:42:20,홈앤쇼핑(어제),858
2026-06-02 15:42:30,홈앤쇼핑(어제),844
2026-06-02 15:42:40,홈앤쇼핑(어제),838
2026-06-02 15:42:50,홈앤쇼핑(어제),841
2026-06-02 15:43:00,홈앤쇼핑(어제),846
2026-06-02 15:43:10,홈앤쇼핑(어제),857
2026-06-02 15:43:20,홈앤쇼핑(어제),887
2026-06-02 15:43:30,홈앤쇼핑(어제),894
2026-06-02 15:43:40,홈앤쇼핑(어제),898
2026-06-02 15:43:50,홈앤쇼핑(어제),915
2026-06-02 15:44:00,홈앤쇼핑(어제),917
2026-06-02 15:44:10,홈앤쇼핑(어제),920
2026-06-02 15:44:20,홈앤쇼핑(어제),936
2026-06-02 15:44:30,홈앤쇼핑(어제),962
2026-06-02 15:44:40,홈앤쇼핑(어제),965
2026-06-02 15:44:50,홈앤쇼핑(어제),957
2026-06-02 15:45:00,홈앤쇼핑(어제),933
2026-06-02 15:45:10,홈앤쇼핑(어제),903
2026-06-02 15:45:20,홈앤쇼핑(어제),886
2026-06-02 15:45:30,홈앤쇼핑(어제),886
2026-06-02 15:45:40,홈앤쇼핑(어제),910
2026-06-02 15:45:50,홈앤쇼핑(어제),920
2026-06-02 15:46:00,홈앤쇼핑(어제),895
2026-06-02 15:46:10,홈앤쇼핑(어제),881
2026-06-02 15:46:20,홈앤쇼핑(어제),884
2026-06-02 15:46:30,홈앤쇼핑(어제),877
2026-06-02 15:46:40,홈앤쇼핑(어제),876
2026-06-02 15:46:50,홈앤쇼핑(어제),909
2026-06-02 15:47:00,홈앤쇼핑(어제),938
2026-06-02 15:47:10,홈앤쇼핑(어제),946
2026-06-02 15:47:20,홈앤쇼핑(어제),936
2026-06-02 15:47:30,홈앤쇼핑(어제),914
2026-06-02 15:47:40,홈앤쇼핑(어제),900
2026-06-02 15:47:50,홈앤쇼핑(어제),877
2026-06-02 15:48:00,홈앤쇼핑(어제),847
2026-06-02 15:48:10,홈앤쇼핑(어제),849
2026-06-02 15:48:20,홈앤쇼핑(어제),844
2026-06-02 15:48:30,홈앤쇼핑(어제),863
2026-06-02 15:48:40,홈앤쇼핑(어제),857
2026-06-02 15:48:50,홈앤쇼핑(어제),864
2026-06-02 15:49:00,홈앤쇼핑(어제),851
2026-06-02 15:49:10,홈앤쇼핑(어제),848
2026-06-02 15:49:20,홈앤쇼핑(어제),859
2026-06-02 15:49:30,홈앤쇼핑(어제),849
2026-06-02 15:49:40,홈앤쇼핑(어제),838
2026-06-02 15:49:50,홈앤쇼핑(어제),831
2026-06-02 15:50:00,홈앤쇼핑(어제),837
2026-06-02 15:50:10,홈앤쇼핑(어제),835
2026-06-02 15:50:20,홈앤쇼핑(어제),850
2026-06-02 15:50:30,홈앤쇼핑(어제),873
2026-06-02 15:50:40,홈앤쇼핑(어제),910
2026-06-02 15:50:50,홈앤쇼핑(어제),918
2026-06-02 15:51:00,홈앤쇼핑(어제),886
2026-06-02 15:51:10,홈앤쇼핑(어제),873
2026-06-02 15:51:20,홈앤쇼핑(어제),855
2026-06-02 15:51:30,홈앤쇼핑(어제),866
2026-06-02 15:51:40,홈앤쇼핑(어제),878
2026-06-02 15:51:50,홈앤쇼핑(어제),855
2026-06-02 15:52:00,홈앤쇼핑(어제),847
2026-06-02 15:52:10,홈앤쇼핑(어제),829
2026-06-02 15:52:20,홈앤쇼핑(어제),821
2026-06-02 15:52:30,홈앤쇼핑(어제),808
2026-06-02 15:52:40,홈앤쇼핑(어제),802
2026-06-02 15:52:50,홈앤쇼핑(어제),809
2026-06-02 15:53:00,홈앤쇼핑(어제),811
2026-06-02 15:53:10,홈앤쇼핑(어제),801
2026-06-02 15:53:20,홈앤쇼핑(어제),810
2026-06-02 15:53:30,홈앤쇼핑(어제),791
2026-06-02 15:53:40,홈앤쇼핑(어제),803
2026-06-02 15:53:50,홈앤쇼핑(어제),799
2026-06-02 15:54:00,홈앤쇼핑(어제),799
2026-06-02 15:54:10,홈앤쇼핑(어제),806
2026-06-02 15:54:20,홈앤쇼핑(어제),817
2026-06-02 15:54:30,홈앤쇼핑(어제),826
2026-06-02 15:54:40,홈앤쇼핑(어제),850
2026-06-02 15:54:50,홈앤쇼핑(어제),850
2026-06-02 15:55:00,홈앤쇼핑(어제),854
2026-06-02 15:55:10,홈앤쇼핑(어제),854
2026-06-02 15:55:20,홈앤쇼핑(어제),871
2026-06-02 15:55:30,홈앤쇼핑(어제),871
2026-06-02 15:55:40,홈앤쇼핑(어제),852
2026-06-02 15:55:50,홈앤쇼핑(어제),845
2026-06-02 15:56:00,홈앤쇼핑(어제),829
2026-06-02 15:56:10,홈앤쇼핑(어제),829
2026-06-02 15:56:20,홈앤쇼핑(어제),826
2026-06-02 15:56:30,홈앤쇼핑(어제),818
2026-06-02 15:56:40,홈앤쇼핑(어제),816
2026-06-02 15:56:50,홈앤쇼핑(어제),804
2026-06-02 15:57:00,홈앤쇼핑(어제),818
2026-06-02 15:57:10,홈앤쇼핑(어제),820
2026-06-02 15:57:20,홈앤쇼핑(어제),813
2026-06-02 15:57:30,홈앤쇼핑(어제),819
2026-06-02 15:57:40,홈앤쇼핑(어제),823
2026-06-02 15:57:50,홈앤쇼핑(어제),804
2026-06-02 15:58:00,홈앤쇼핑(어제),809
2026-06-02 15:58:10,홈앤쇼핑(어제),813
2026-06-02 15:58:20,홈앤쇼핑(어제),819
2026-06-02 15:58:30,홈앤쇼핑(어제),821
2026-06-02 15:58:40,홈앤쇼핑(어제),813
2026-06-02 15:58:50,홈앤쇼핑(어제),810
2026-06-02 15:59:00,홈앤쇼핑(어제),829
2026-06-02 15:59:10,홈앤쇼핑(어제),826
2026-06-02 15:59:20,홈앤쇼핑(어제),834
2026-06-02 15:59:30,홈앤쇼핑(어제),861
2026-06-02 15:59:40,홈앤쇼핑(어제),874
2026-06-02 15:59:50,홈앤쇼핑(어제),911
2026-06-02 16:00:00,홈앤쇼핑(어제),935
2026-06-02 16:00:10,홈앤쇼핑(어제),947
2026-06-02 16:00:20,홈앤쇼핑(어제),938
2026-06-02 16:00:30,홈앤쇼핑(어제),938
2026-06-02 16:00:40,홈앤쇼핑(어제),947
2026-06-02 16:00:50,홈앤쇼핑(어제),940
2026-06-02 16:01:00,홈앤쇼핑(어제),902
2026-06-02 16:01:10,홈앤쇼핑(어제),896
2026-06-02 16:01:20,홈앤쇼핑(어제),891
2026-06-02 16:01:30,홈앤쇼핑(어제),904
2026-06-02 16:01:40,홈앤쇼핑(어제),907
2026-06-02 16:01:50,홈앤쇼핑(어제),927
